id,left,top,right,bottom,a_elev_m,a_dem_m,a_celev_m,a_ss_m,a_crh100_m,a_crh095_m,a_crh090_m,a_crh085_m,a_crh080_m,a_crh075_m,a_crh070_m,a_crh065_m,a_crh060_m,a_crh055_m,a_crh050_m,a_crh045_m,a_crh040_m,a_crh035_m,a_crh030_m,a_crh025_m,a_crh020_m,a_crh015_m,a_crh010_m,a_crh005_m,a_crh000_m,a_mfrac_m,a_rv_m,a_cv_m,a_fhd_m,a_pai_m,a_gap_m,a_pavd01_m,a_pavd02_m,a_pavd03_m,a_pavd04_m,a_pavd05_m,a_pavd06_m,a_pavd07_m,a_rg_m,a_rxrtrn_m,b_elev_m,b_dem_m,b_celev_m,b_ss_m,b_crh100_m,b_crh095_m,b_crh090_m,b_crh085_m,b_crh080_m,b_crh075_m,b_crh070_m,b_crh065_m,b_crh060_m,b_crh055_m,b_crh050_m,b_crh045_m,b_crh040_m,b_crh035_m,b_crh030_m,b_crh025_m,b_crh020_m,b_crh015_m,b_crh010_m,b_crh005_m,b_crh000_m,b_mfrac_m,b_rv_m,b_cv_m,b_fhd_m,b_pai_m,b_gap_m,b_pavd01_m,b_pavd02_m,b_pavd03_m,b_pavd04_m,b_pavd05_m,b_pavd06_m,b_pavd07_m,b_rg_m,b_rxrtrn_m,gedi_both,a_gedi_num,b_gedi_num,isburnt,iscontrol
21,336184.336,434078.1276,336684.336,433578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
22,336184.336,433578.1276,336684.336,433078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
23,336184.336,433078.1276,336684.336,432578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
24,336184.336,432578.1276,336684.336,432078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
42,336684.336,444078.1276,337184.336,443578.1276,216.617142,225.426624,233.288444,27.592606,16.666154,13.436154,11.106923,9.13,7.731538,6.632308,5.695385,4.889231,4.178462,3.525385,2.903077,2.266923,1.617692,0.933846,0.223077,-0.523846,-1.294615,-2.129231,-3.133846,-4.399231,-6.280769,0.271443,2252.69297,0.344228,2.517856,1.059023,0.655682,0.079355,0.079657,0.05745,0.024296,0.008775,0.001949,0,5259.310683,422540.5854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,0,0
43,336684.336,443578.1276,337184.336,443078.1276,222.728643,227.55761,237.924827,27.588706,15.191667,12.482778,11.174444,10.225,9.468333,8.800556,8.185555,7.578889,6.968889,6.363889,5.76,5.154444,4.532778,3.898889,3.231667,2.486111,1.596667,0.365556,-1.268889,-3.04,-5.191667,0.447342,4373.691847,0.50148,2.39386,2.035289,0.498373,0.090477,0.127144,0.144062,0.07575,0.014208,0.000615,0,2912.643506,421959.3371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,0,0
44,336684.336,443078.1276,337184.336,442578.1276,189.47103,193.564868,208.016921,27.597424,18.540833,15.918333,14.701667,13.768333,12.955,12.174167,11.361667,10.450833,9.478333,8.555,7.6675,6.75,5.734167,4.6425,3.511667,2.5025,1.538333,0.661667,-0.365,-1.690833,-3.7825,0.359991,5474.7807,0.558399,2.480175,2.291734,0.441466,0.10483,0.13127,0.134131,0.086044,0.037389,0.01153,0.005226,2818.093583,422242.9646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,0,0
45,336684.336,442578.1276,337184.336,442078.1276,124.163157,122.822795,135.675908,27.595304,11.51,9.11,7.76,6.836667,6.126667,5.476667,4.926667,4.463333,4.066667,3.65,3.283333,2.913333,2.496667,2.073333,1.623333,1.1,0.476667,-0.35,-1.473333,-2.946667,-4.416667,0.973205,1491.553935,0.342177,2.178637,1.495545,0.657744,0.060496,0.114824,0.118376,0.03473,0.000931,0,0,2735.571381,424137.1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,0,0
46,336684.336,442078.1276,337184.336,441578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
47,336684.336,441578.1276,337184.336,441078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
